sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"TMEM2","Previous symbol","CEMIP2","cell migration inducing hyaluronidase 2","HGNC:11869","9q21.13"
"FSTL1","Approved symbol","FSTL1","follistatin like 1","HGNC:3972","3q13.33"
"ANTXR1","Approved symbol","ANTXR1","ANTXR cell adhesion molecule 1","HGNC:21014","2p13.3"
"COL6A2","Approved symbol","COL6A2","collagen type VI alpha 2 chain","HGNC:2212","21q22.3"
"PCOLCE","Approved symbol","PCOLCE","procollagen C-endopeptidase enhancer","HGNC:8738","7q22.1"
"AHNAK2","Approved symbol","AHNAK2","AHNAK nucleoprotein 2","HGNC:20125","14q32.33"
"HSPG2","Approved symbol","HSPG2","heparan sulfate proteoglycan 2","HGNC:5273","1p36.12"
"IER5L","Approved symbol","IER5L","immediate early response 5 like","HGNC:23679","9q34.11"
"PALLD","Approved symbol","PALLD","palladin, cytoskeletal associated protein","HGNC:17068","4q32.3"
"MMP2","Approved symbol","MMP2","matrix metallopeptidase 2","HGNC:7166","16q12.2"
"NRP1","Approved symbol","NRP1","neuropilin 1","HGNC:8004","10p11.22"
"SPON2","Approved symbol","SPON2","spondin 2","HGNC:11253","4p16.3"
"CD248","Approved symbol","CD248","CD248 molecule","HGNC:18219","11q13.2"
"MXRA5","Approved symbol","MXRA5","matrix remodeling associated 5","HGNC:7539","Xp22.33"
"MTHFD2L","Approved symbol","MTHFD2L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like","HGNC:31865","4q13.3"
"ISLR","Approved symbol","ISLR","immunoglobulin superfamily containing leucine rich repeat","HGNC:6133","15q24.1"
"GAS6","Approved symbol","GAS6","growth arrest specific 6","HGNC:4168","13q34"
"EGLN3","Approved symbol","EGLN3","egl-9 family hypoxia inducible factor 3","HGNC:14661","14q13.1"
"COL16A1","Approved symbol","COL16A1","collagen type XVI alpha 1 chain","HGNC:2193","1p35.2"
"BDH1","Approved symbol","BDH1","3-hydroxybutyrate dehydrogenase 1","HGNC:1027","3q29"
"LMO7","Approved symbol","LMO7","LIM domain 7","HGNC:6646","13q22.2"
"ALPK3","Approved symbol","ALPK3","alpha kinase 3","HGNC:17574","15q25.3"
"COL15A1","Approved symbol","COL15A1","collagen type XV alpha 1 chain","HGNC:2192","9q22.33"
"SCD5","Approved symbol","SCD5","stearoyl-CoA desaturase 5","HGNC:21088","4q21.22"
"ATP10D","Approved symbol","ATP10D","ATPase phospholipid transporting 10D (putative)","HGNC:13549","4p12"
"CD320","Approved symbol","CD320","CD320 molecule","HGNC:16692","19p13.2"
"SASH1","Approved symbol","SASH1","SAM and SH3 domain containing 1","HGNC:19182","6q24.3-q25.1"
"KREMEN1","Approved symbol","KREMEN1","kringle containing transmembrane protein 1","HGNC:17550","22q12.1"
"ANGPTL2","Approved symbol","ANGPTL2","angiopoietin like 2","HGNC:490","9q33.3"
"DST","Approved symbol","DST","dystonin","HGNC:1090","6p12.1"
"EFEMP2","Approved symbol","EFEMP2","EGF containing fibulin extracellular matrix protein 2","HGNC:3219","11q13.1"
"VCAN","Approved symbol","VCAN","versican","HGNC:2464","5q14.2-q14.3"
"CTHRC1","Approved symbol","CTHRC1","collagen triple helix repeat containing 1","HGNC:18831","8q22.3"
"DAAM2","Approved symbol","DAAM2","dishevelled associated activator of morphogenesis 2","HGNC:18143","6p21.2"
"FERMT2","Approved symbol","FERMT2","FERM domain containing kindlin 2","HGNC:15767","14q22.1"
"EMILIN1","Approved symbol","EMILIN1","elastin microfibril interfacer 1","HGNC:19880","2p23.3"
"FBLN1","Approved symbol","FBLN1","fibulin 1","HGNC:3600","22q13.31"
"CD99","Approved symbol","CD99","CD99 molecule (Xg blood group)","HGNC:7082","Xp22.32 and Yp11.3"
"LAMA4","Approved symbol","LAMA4","laminin subunit alpha 4","HGNC:6484","6q21"
"NEDD9","Approved symbol","NEDD9","neural precursor cell expressed, developmentally down-regulated 9","HGNC:7733","6p24.2"
"ADORA2A","Approved symbol","ADORA2A","adenosine A2a receptor","HGNC:263","22q11.23"
"CCDC80","Approved symbol","CCDC80","coiled-coil domain containing 80","HGNC:30649","3q13.2"
"BGN","Approved symbol","BGN","biglycan","HGNC:1044","Xq28"
"MEGF6","Approved symbol","MEGF6","multiple EGF like domains 6","HGNC:3232","1p36.32"
"DAB2","Approved symbol","DAB2","DAB adaptor protein 2","HGNC:2662","5p13.1"
"LOC147727","Unmatched","","","",""
"RASA3","Approved symbol","RASA3","RAS p21 protein activator 3","HGNC:20331","13q34"
"CFH","Approved symbol","CFH","complement factor H","HGNC:4883","1q31.3"
"CYTSB","Previous symbol","SPECC1","sperm antigen with calponin homology and coiled-coil domains 1","HGNC:30615","17p11.2"
"THBS2","Approved symbol","THBS2","thrombospondin 2","HGNC:11786","6q27"
"TGFB1I1","Approved symbol","TGFB1I1","transforming growth factor beta 1 induced transcript 1","HGNC:11767","16p11.2"
"ARMCX1","Approved symbol","ARMCX1","armadillo repeat containing X-linked 1","HGNC:18073","Xq22.1"
"MFRP","Approved symbol","MFRP","membrane frizzled-related protein","HGNC:18121","11q23.3"
"ADAM12","Approved symbol","ADAM12","ADAM metallopeptidase domain 12","HGNC:190","10q26.2"
"LAMB1","Approved symbol","LAMB1","laminin subunit beta 1","HGNC:6486","7q31.1"
"PRR5L","Approved symbol","PRR5L","proline rich 5 like","HGNC:25878","11p13-p12"
"NYNRIN","Approved symbol","NYNRIN","NYN domain and retroviral integrase containing","HGNC:20165","14q12"
"MYL9","Approved symbol","MYL9","myosin light chain 9","HGNC:15754","20q11.23"
"GADD45A","Approved symbol","GADD45A","growth arrest and DNA damage inducible alpha","HGNC:4095","1p31.3"
"BASP1","Approved symbol","BASP1","brain abundant membrane attached signal protein 1","HGNC:957","5p15.1"
"PDGFC","Approved symbol","PDGFC","platelet derived growth factor C","HGNC:8801","4q32.1"
"KLHL2","Approved symbol","KLHL2","kelch like family member 2","HGNC:6353","4q32.3"
"OSMR","Approved symbol","OSMR","oncostatin M receptor","HGNC:8507","5p13.1"
"PCDH18","Approved symbol","PCDH18","protocadherin 18","HGNC:14268","4q28.3"
"ACTA2","Approved symbol","ACTA2","actin alpha 2, smooth muscle","HGNC:130","10q23.31"
"HEG1","Approved symbol","HEG1","heart development protein with EGF like domains 1","HGNC:29227","3q21.2"
"RNF144B","Approved symbol","RNF144B","ring finger protein 144B","HGNC:21578","6p22.3"
"CDH13","Approved symbol","CDH13","cadherin 13","HGNC:1753","16q23.3"
"PTPRE","Approved symbol","PTPRE","protein tyrosine phosphatase receptor type E","HGNC:9669","10q26.2"
"FAM171B","Approved symbol","FAM171B","family with sequence similarity 171 member B","HGNC:29412","2q32.1"
"COBLL1","Approved symbol","COBLL1","cordon-bleu WH2 repeat protein like 1","HGNC:23571","2q24.3"
"LIMS2","Approved symbol","LIMS2","LIM zinc finger domain containing 2","HGNC:16084","2q14.3"
"RPS6KA2","Approved symbol","RPS6KA2","ribosomal protein S6 kinase A2","HGNC:10431","6q27"
"FN1","Approved symbol","FN1","fibronectin 1","HGNC:3778","2q35"
"RORA","Approved symbol","RORA","RAR related orphan receptor A","HGNC:10258","15q22.2"
"COL18A1","Approved symbol","COL18A1","collagen type XVIII alpha 1 chain","HGNC:2195","21q22.3"
"PTPN21","Approved symbol","PTPN21","protein tyrosine phosphatase non-receptor type 21","HGNC:9651","14q31.3"
"MRVI1","Previous symbol","IRAG1","inositol 1,4,5-triphosphate receptor associated 1","HGNC:7237","11p15.4"
"THY1","Approved symbol","THY1","Thy-1 cell surface antigen","HGNC:11801","11q23.3"
"SYNPO","Approved symbol","SYNPO","synaptopodin","HGNC:30672","5q33.1"
"PLAU","Approved symbol","PLAU","plasminogen activator, urokinase","HGNC:9052","10q22.2"
"NID1","Approved symbol","NID1","nidogen 1","HGNC:7821","1q42.3"
"ID3","Approved symbol","ID3","inhibitor of DNA binding 3","HGNC:5362","1p36.12"
"PRELP","Approved symbol","PRELP","proline and arginine rich end leucine rich repeat protein","HGNC:9357","1q32.1"
"GPR124","Previous symbol","ADGRA2","adhesion G protein-coupled receptor A2","HGNC:17849","8p11.23"
"LGALS1","Approved symbol","LGALS1","galectin 1","HGNC:6561","22q13.1"
"CTGF","Previous symbol","CCN2","cellular communication network factor 2","HGNC:2500","6q23.2"
"LPP","Approved symbol","LPP","LIM domain containing preferred translocation partner in lipoma","HGNC:6679","3q27.3-q28"
"WLS","Approved symbol","WLS","Wnt ligand secretion mediator","HGNC:30238","1p31.3"
"PLEKHA4","Approved symbol","PLEKHA4","pleckstrin homology domain containing A4","HGNC:14339","19q13.33"
"GGT5","Approved symbol","GGT5","gamma-glutamyltransferase 5","HGNC:4260","22q11.23"
"AGPAT2","Approved symbol","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2","HGNC:325","9q34.3"
"HK2","Approved symbol","HK2","hexokinase 2","HGNC:4923","2p12"
"HK2","Alias symbol","KCNA5","potassium voltage-gated channel subfamily A member 5","HGNC:6224","12p13.32"
"HK2","Alias symbol","KIF2A","kinesin family member 2A","HGNC:6318","5q12.1"
"HK2","Alias symbol","HOOK2","hook microtubule tethering protein 2","HGNC:19885","19p13.13"
"PTRF","Previous symbol","CAVIN1","caveolae associated protein 1","HGNC:9688","17q21.2"
"C3orf59","Previous symbol","MB21D2","Mab-21 domain containing 2","HGNC:30438","3q29"
"TBKBP1","Approved symbol","TBKBP1","TBK1 binding protein 1","HGNC:30140","17q21.32"
"SERPINE1","Approved symbol","SERPINE1","serpin family E member 1","HGNC:8583","7q22.1"
"CHMP4C","Approved symbol","CHMP4C","charged multivesicular body protein 4C","HGNC:30599","8q21.13"
"SULF1","Approved symbol","SULF1","sulfatase 1","HGNC:20391","8q13.2-q13.3"
"PLSCR4","Approved symbol","PLSCR4","phospholipid scramblase 4","HGNC:16497","3q24"
"GPR153","Approved symbol","GPR153","G protein-coupled receptor 153","HGNC:23618","1p36.31"
"TLN2","Approved symbol","TLN2","talin 2","HGNC:15447","15q22.2"
"MT1E","Approved symbol","MT1E","metallothionein 1E","HGNC:7397","16q13"
"PXDN","Approved symbol","PXDN","peroxidasin","HGNC:14966","2p25.3"
"OLFML2B","Approved symbol","OLFML2B","olfactomedin like 2B","HGNC:24558","1q23.3"
"RAB3IL1","Approved symbol","RAB3IL1","RAB3A interacting protein like 1","HGNC:9780","11q12.2-q12.3"
"DCHS1","Approved symbol","DCHS1","dachsous cadherin-related 1","HGNC:13681","11p15.4"
"S100A16","Approved symbol","S100A16","S100 calcium binding protein A16","HGNC:20441","1q21.3"
"S100A16","Alias symbol","HRNR","hornerin","HGNC:20846","1q21.3"
"INHBB","Approved symbol","INHBB","inhibin subunit beta B","HGNC:6067","2q14.2"
"NCRNA00152","Previous symbol","CYTOR","cytoskeleton regulator RNA","HGNC:28717","2p11.2"
"DHRS13","Approved symbol","DHRS13","dehydrogenase/reductase 13","HGNC:28326","17q11.2"
"LGALS3","Approved symbol","LGALS3","galectin 3","HGNC:6563","14q22.3"
"COL5A1","Approved symbol","COL5A1","collagen type V alpha 1 chain","HGNC:2209","9q34.3"
"SDC2","Approved symbol","SDC2","syndecan 2","HGNC:10659","8q22.1"
"PHLDB2","Approved symbol","PHLDB2","pleckstrin homology like domain family B member 2","HGNC:29573","3q13.2"
"PGM2L1","Approved symbol","PGM2L1","phosphoglucomutase 2 like 1","HGNC:20898","11q13.4"
"UTRN","Approved symbol","UTRN","utrophin","HGNC:12635","6q24.2"
"GJA5","Approved symbol","GJA5","gap junction protein alpha 5","HGNC:4279","1q21.2"
"GCAT","Approved symbol","GCAT","glycine C-acetyltransferase","HGNC:4188","22q13.1"
"EMP1","Approved symbol","EMP1","epithelial membrane protein 1","HGNC:3333","12p13.1"
"COL5A3","Approved symbol","COL5A3","collagen type V alpha 3 chain","HGNC:14864","19p13.2"
"LUM","Approved symbol","LUM","lumican","HGNC:6724","12q21.33"
"PROCR","Approved symbol","PROCR","protein C receptor","HGNC:9452","20q11.22"
"BHLHE41","Approved symbol","BHLHE41","basic helix-loop-helix family member e41","HGNC:16617","12p12.1"
"SPP1","Approved symbol","SPP1","secreted phosphoprotein 1","HGNC:11255","4q22.1"
"SPP1","Alias symbol","CXXC1","CXXC finger protein 1","HGNC:24343","18q21.1"
"TUBA1A","Approved symbol","TUBA1A","tubulin alpha 1a","HGNC:20766","12q13.12"
"TNS1","Approved symbol","TNS1","tensin 1","HGNC:11973","2q35"
"CD109","Approved symbol","CD109","CD109 molecule","HGNC:21685","6q13"
"PFKFB3","Approved symbol","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","HGNC:8874","10p15.1"
"CPPED1","Approved symbol","CPPED1","calcineurin like phosphoesterase domain containing 1","HGNC:25632","16p13.12"
"PLCD3","Approved symbol","PLCD3","phospholipase C delta 3","HGNC:9061","17q21.31"
"CXCL12","Approved symbol","CXCL12","C-X-C motif chemokine ligand 12","HGNC:10672","10q11.21"
"CTSK","Approved symbol","CTSK","cathepsin K","HGNC:2536","1q21.3"
"CHN1","Approved symbol","CHN1","chimerin 1","HGNC:1943","2q31.1"
"SERPING1","Approved symbol","SERPING1","serpin family G member 1","HGNC:1228","11q12.1"
"ARHGAP29","Approved symbol","ARHGAP29","Rho GTPase activating protein 29","HGNC:30207","1p22.1"
"TMEM47","Approved symbol","TMEM47","transmembrane protein 47","HGNC:18515","Xp21.1"
"VEGFC","Approved symbol","VEGFC","vascular endothelial growth factor C","HGNC:12682","4q34.3"
"SYDE1","Approved symbol","SYDE1","synapse defective Rho GTPase homolog 1","HGNC:25824","19p13.12"
"CYTH3","Approved symbol","CYTH3","cytohesin 3","HGNC:9504","7p22.1"
"LOX","Approved symbol","LOX","lysyl oxidase","HGNC:6664","5q23.1"
"H19","Approved symbol","H19","H19 imprinted maternally expressed transcript","HGNC:4713","11p15.5"
"IGSF3","Approved symbol","IGSF3","immunoglobulin superfamily member 3","HGNC:5950","1p13.1"
"SSPN","Approved symbol","SSPN","sarcospan","HGNC:11322","12p12.1"
"COL5A2","Approved symbol","COL5A2","collagen type V alpha 2 chain","HGNC:2210","2q32.2"
"TSPAN18","Approved symbol","TSPAN18","tetraspanin 18","HGNC:20660","11p11.2"
"MAP1B","Approved symbol","MAP1B","microtubule associated protein 1B","HGNC:6836","5q13.2"
"PFKFB2","Approved symbol","PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","HGNC:8873","1q32.1"
"FGFR1","Approved symbol","FGFR1","fibroblast growth factor receptor 1","HGNC:3688","8p11.23"
"LOXL2","Approved symbol","LOXL2","lysyl oxidase like 2","HGNC:6666","8p21.3"
"MMP14","Approved symbol","MMP14","matrix metallopeptidase 14","HGNC:7160","14q11.2"
"EML1","Approved symbol","EML1","EMAP like 1","HGNC:3330","14q32.2"
"PHLDA3","Approved symbol","PHLDA3","pleckstrin homology like domain family A member 3","HGNC:8934","1q32.1"
"GAS7","Approved symbol","GAS7","growth arrest specific 7","HGNC:4169","17p13.1"
"TCF4","Approved symbol","TCF4","transcription factor 4","HGNC:11634","18q21.2"
"TCF4","Previous symbol","TCF7L2","transcription factor 7 like 2","HGNC:11641","10q25.2-q25.3"
"COL3A1","Approved symbol","COL3A1","collagen type III alpha 1 chain","HGNC:2201","2q32.2"
"COL1A1","Approved symbol","COL1A1","collagen type I alpha 1 chain","HGNC:2197","17q21.33"
"KLF13","Approved symbol","KLF13","KLF transcription factor 13","HGNC:13672","15q13.3"
"RUNX1","Approved symbol","RUNX1","RUNX family transcription factor 1","HGNC:10471","21q22.12"
"C5orf13","Previous symbol","NREP","neuronal regeneration related protein","HGNC:16834","5q22.1"
"MICAL2","Approved symbol","MICAL2","microtubule associated monooxygenase, calponin and LIM domain containing 2","HGNC:24693","11p15.3"
"SPARC","Approved symbol","SPARC","secreted protein acidic and cysteine rich","HGNC:11219","5q33.1"
"GADD45B","Approved symbol","GADD45B","growth arrest and DNA damage inducible beta","HGNC:4096","19p13.3"
"PAPSS2","Approved symbol","PAPSS2","3'-phosphoadenosine 5'-phosphosulfate synthase 2","HGNC:8604","10q23.2-q23.31"
"TAGLN","Approved symbol","TAGLN","transgelin","HGNC:11553","11q23.3"
"NNMT","Approved symbol","NNMT","nicotinamide N-methyltransferase","HGNC:7861","11q23.2"
"ITGA2","Approved symbol","ITGA2","integrin subunit alpha 2","HGNC:6137","5q11.2"
"KLF4","Approved symbol","KLF4","KLF transcription factor 4","HGNC:6348","9q31.2"
"PYGL","Approved symbol","PYGL","glycogen phosphorylase L","HGNC:9725","14q22.1"
"COL1A2","Approved symbol","COL1A2","collagen type I alpha 2 chain","HGNC:2198","7q21.3"
"AXL","Approved symbol","AXL","AXL receptor tyrosine kinase","HGNC:905","19q13.2"
"TNC","Approved symbol","TNC","tenascin C","HGNC:5318","9q33.1"
"CDH11","Approved symbol","CDH11","cadherin 11","HGNC:1750","16q21"
"FBLN2","Approved symbol","FBLN2","fibulin 2","HGNC:3601","3p25.1"
"LRP1","Approved symbol","LRP1","LDL receptor related protein 1","HGNC:6692","12q13.3"
"LRP1","Alias symbol","C1D","C1D nuclear receptor corepressor","HGNC:29911","2p14"
"NFATC1","Approved symbol","NFATC1","nuclear factor of activated T cells 1","HGNC:7775","18q23"
"HTRA3","Approved symbol","HTRA3","HtrA serine peptidase 3","HGNC:30406","4p16.1"
"HTRA3","Alias symbol","CAPN5","calpain 5","HGNC:1482","11q13.5"
"CIDEB","Approved symbol","CIDEB","cell death inducing DFFA like effector b","HGNC:1977","14q12"
"PDZD2","Approved symbol","PDZD2","PDZ domain containing 2","HGNC:18486","5p13.3"
"DPYSL3","Approved symbol","DPYSL3","dihydropyrimidinase like 3","HGNC:3015","5q32"
"RBPMS","Approved symbol","RBPMS","RNA binding protein, mRNA processing factor","HGNC:19097","8p12"
"CDK14","Approved symbol","CDK14","cyclin dependent kinase 14","HGNC:8883","7q21.13"
"ANKRD6","Approved symbol","ANKRD6","ankyrin repeat domain 6","HGNC:17280","6q15"
"AEBP1","Approved symbol","AEBP1","AE binding protein 1","HGNC:303","7p13"
"AGL","Approved symbol","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","HGNC:321","1p21.2"
"SDC1","Approved symbol","SDC1","syndecan 1","HGNC:10658","2p24.1"
"DSE","Approved symbol","DSE","dermatan sulfate epimerase","HGNC:21144","6q22.1"
"LMCD1","Approved symbol","LMCD1","LIM and cysteine rich domains 1","HGNC:6633","3p25.3"
"TARBP1","Approved symbol","TARBP1","TAR (HIV-1) RNA binding protein 1","HGNC:11568","1q42.2"
"SULF2","Approved symbol","SULF2","sulfatase 2","HGNC:20392","20q13.12"
"FBN1","Approved symbol","FBN1","fibrillin 1","HGNC:3603","15q21.1"
"CADM1","Approved symbol","CADM1","cell adhesion molecule 1","HGNC:5951","11q23.3"
"GLIS2","Approved symbol","GLIS2","GLIS family zinc finger 2","HGNC:29450","16p13.3"
"LTBP2","Approved symbol","LTBP2","latent transforming growth factor beta binding protein 2","HGNC:6715","14q24.3"
"LTBP2","Previous symbol","LTBP3","latent transforming growth factor beta binding protein 3","HGNC:6716","11q13.1"
"PMEPA1","Approved symbol","PMEPA1","prostate transmembrane protein, androgen induced 1","HGNC:14107","20q13.31"
"EHD2","Approved symbol","EHD2","EH domain containing 2","HGNC:3243","19q13.33"
"GPC4","Approved symbol","GPC4","glypican 4","HGNC:4452","Xq26.2"
"BMP1","Approved symbol","BMP1","bone morphogenetic protein 1","HGNC:1067","8p21.3"
"TGFBI","Approved symbol","TGFBI","transforming growth factor beta induced","HGNC:11771","5q31.1"
"DHRS11","Approved symbol","DHRS11","dehydrogenase/reductase 11","HGNC:28639","17q12"
"INSIG1","Approved symbol","INSIG1","insulin induced gene 1","HGNC:6083","7q36.3"
"NBL1","Approved symbol","NBL1","NBL1, DAN family BMP antagonist","HGNC:7650","1p36.13"
"DUSP10","Approved symbol","DUSP10","dual specificity phosphatase 10","HGNC:3065","1q41"
"PMP22","Approved symbol","PMP22","peripheral myelin protein 22","HGNC:9118","17p12"
"PMP22","Alias symbol","PXMP2","peroxisomal membrane protein 2","HGNC:9716","12q24.33"
"LOXL1","Approved symbol","LOXL1","lysyl oxidase like 1","HGNC:6665","15q24.1"
"COL6A3","Approved symbol","COL6A3","collagen type VI alpha 3 chain","HGNC:2213","2q37.3"
"DLC1","Approved symbol","DLC1","DLC1 Rho GTPase activating protein","HGNC:2897","8p22"
"DLC1","Alias symbol","DLEC1","DLEC1 cilia and flagella associated protein","HGNC:2899","3p22.2"
"DLC1","Alias symbol","DYNLL1","dynein light chain LC8-type 1","HGNC:15476","12q24.31"
"MXRA8","Approved symbol","MXRA8","matrix remodeling associated 8","HGNC:7542","1p36.33"
"ID1","Approved symbol","ID1","inhibitor of DNA binding 1","HGNC:5360","20q11.21"
"C5orf62","Previous symbol","SMIM3","small integral membrane protein 3","HGNC:30248","5q33.1"
"CDKN1A","Approved symbol","CDKN1A","cyclin dependent kinase inhibitor 1A","HGNC:1784","6p21.2"
"CDKN1A","Alias symbol","CDPF1","cysteine rich DPF motif domain containing 1","HGNC:33710","22q13.31"
"MYLK","Approved symbol","MYLK","myosin light chain kinase","HGNC:7590","3q21.1"
"CDCP1","Approved symbol","CDCP1","CUB domain containing protein 1","HGNC:24357","3p21.31"
"ZNF469","Approved symbol","ZNF469","zinc finger protein 469","HGNC:23216","16q24.2"
"POSTN","Approved symbol","POSTN","periostin","HGNC:16953","13q13.3"
"CSPG4","Approved symbol","CSPG4","chondroitin sulfate proteoglycan 4","HGNC:2466","15q24.2"
"COL12A1","Approved symbol","COL12A1","collagen type XII alpha 1 chain","HGNC:2188","6q13-q14.1"
"TNFRSF12A","Approved symbol","TNFRSF12A","TNF receptor superfamily member 12A","HGNC:18152","16p13.3"
"UNC5B","Approved symbol","UNC5B","unc-5 netrin receptor B","HGNC:12568","10q22.1"
"BCAT1","Approved symbol","BCAT1","branched chain amino acid transaminase 1","HGNC:976","12p12.1"
"WWC2","Approved symbol","WWC2","WW and C2 domain containing 2","HGNC:24148","4q35.1"
"A4GALT","Approved symbol","A4GALT","alpha 1,4-galactosyltransferase (P blood group)","HGNC:18149","22q13.2"
"C1QTNF6","Approved symbol","C1QTNF6","C1q and TNF related 6","HGNC:14343","22q12.3"
"JAM3","Approved symbol","JAM3","junctional adhesion molecule 3","HGNC:15532","11q25"
"KIAA1462","Previous symbol","JCAD","junctional cadherin 5 associated","HGNC:29283","10p11.23"
"RASSF8","Approved symbol","RASSF8","Ras association domain family member 8","HGNC:13232","12p12.1"
"PLXNA2","Approved symbol","PLXNA2","plexin A2","HGNC:9100","1q32.2"
"AKAP12","Approved symbol","AKAP12","A-kinase anchoring protein 12","HGNC:370","6q25.1"
"PDE4A","Approved symbol","PDE4A","phosphodiesterase 4A","HGNC:8780","19p13.2"
"THBS1","Approved symbol","THBS1","thrombospondin 1","HGNC:11785","15q14"
"LRRC32","Approved symbol","LRRC32","leucine rich repeat containing 32","HGNC:4161","11q13.5"
"CNTNAP1","Approved symbol","CNTNAP1","contactin associated protein 1","HGNC:8011","17q21.2"
"PHLDA1","Approved symbol","PHLDA1","pleckstrin homology like domain family A member 1","HGNC:8933","12q21.2"
"C1S","Approved symbol","C1S","complement C1s","HGNC:1247","12p13.31"
"RCN3","Approved symbol","RCN3","reticulocalbin 3","HGNC:21145","19q13.33"
"CNN2","Approved symbol","CNN2","calponin 2","HGNC:2156","19p13.3"
"ADAMTS4","Approved symbol","ADAMTS4","ADAM metallopeptidase with thrombospondin type 1 motif 4","HGNC:220","1q23.3"
"OLFML3","Approved symbol","OLFML3","olfactomedin like 3","HGNC:24956","1p13.2"
"FRMD6","Approved symbol","FRMD6","FERM domain containing 6","HGNC:19839","14q22.1"
"LEF1","Approved symbol","LEF1","lymphoid enhancer binding factor 1","HGNC:6551","4q25"
"MGLL","Approved symbol","MGLL","monoglyceride lipase","HGNC:17038","3q21.3"
"FKBP10","Approved symbol","FKBP10","FKBP prolyl isomerase 10","HGNC:18169","17q21.2"
"STON1","Approved symbol","STON1","stonin 1","HGNC:17003","2p16.3"
"OLFML2A","Approved symbol","OLFML2A","olfactomedin like 2A","HGNC:27270","9q33.3"
"EDNRA","Approved symbol","EDNRA","endothelin receptor type A","HGNC:3179","4q31.22-q31.23"
"LAMC1","Approved symbol","LAMC1","laminin subunit gamma 1","HGNC:6492","1q25.3"
"GJA1","Approved symbol","GJA1","gap junction protein alpha 1","HGNC:4274","6q22.31"
"KALRN","Approved symbol","KALRN","kalirin RhoGEF kinase","HGNC:4814","3q21.1-q21.2"
"MRM1","Approved symbol","MRM1","mitochondrial rRNA methyltransferase 1","HGNC:26202","17q12"
"C13orf15","Previous symbol","RGCC","regulator of cell cycle","HGNC:20369","13q14.11"
"PLXDC1","Approved symbol","PLXDC1","plexin domain containing 1","HGNC:20945","17q12"
"CERCAM","Approved symbol","CERCAM","cerebral endothelial cell adhesion molecule","HGNC:23723","9q34.11"
"PPL","Approved symbol","PPL","periplakin","HGNC:9273","16p13.3"
"ATL1","Approved symbol","ATL1","atlastin GTPase 1","HGNC:11231","14q22.1"
"NES","Approved symbol","NES","nestin","HGNC:7756","1q23.1"
"PDGFRB","Approved symbol","PDGFRB","platelet derived growth factor receptor beta","HGNC:8804","5q32"
"ANKH","Approved symbol","ANKH","ANKH inorganic pyrophosphate transport regulator","HGNC:15492","5p15.2"
"PTPRG","Approved symbol","PTPRG","protein tyrosine phosphatase receptor type G","HGNC:9671","3p14.2"
"ITPRIPL2","Approved symbol","ITPRIPL2","ITPRIP like 2","HGNC:27257","16p12.3"
"CREB3L1","Approved symbol","CREB3L1","cAMP responsive element binding protein 3 like 1","HGNC:18856","11p11.2"
"HTRA1","Approved symbol","HTRA1","HtrA serine peptidase 1","HGNC:9476","10q26.13"
"F2R","Approved symbol","F2R","coagulation factor II thrombin receptor","HGNC:3537","5q13.3"
"PQLC3","Previous symbol","SLC66A3","solute carrier family 66 member 3","HGNC:28503","2p25.1"
"TPM2","Approved symbol","TPM2","tropomyosin 2","HGNC:12011","9p13.3"
"ADAM19","Approved symbol","ADAM19","ADAM metallopeptidase domain 19","HGNC:197","5q33.3"
"NAV1","Approved symbol","NAV1","neuron navigator 1","HGNC:15989","1q32.1"
"PLXDC2","Approved symbol","PLXDC2","plexin domain containing 2","HGNC:21013","10p12.31"
"KDELR3","Approved symbol","KDELR3","KDEL endoplasmic reticulum protein retention receptor 3","HGNC:6306","22q13.1"
"FBLN5","Approved symbol","FBLN5","fibulin 5","HGNC:3602","14q32.12"
"SEMA5A","Approved symbol","SEMA5A","semaphorin 5A","HGNC:10736","5p15.31"
"ITGB4","Approved symbol","ITGB4","integrin subunit beta 4","HGNC:6158","17q25.1"
"LBH","Approved symbol","LBH","LBH regulator of WNT signaling pathway","HGNC:29532","2p23.1"
"LBH","Alias symbol","SMIM29","small integral membrane protein 29","HGNC:1340","6p21.31"
"TRIP6","Approved symbol","TRIP6","thyroid hormone receptor interactor 6","HGNC:12311","7q22.1"
"HEPH","Approved symbol","HEPH","hephaestin","HGNC:4866","Xq12"
"IGFBP3","Approved symbol","IGFBP3","insulin like growth factor binding protein 3","HGNC:5472","7p12.3"
"TTC23","Approved symbol","TTC23","tetratricopeptide repeat domain 23","HGNC:25730","15q26.3"
"C1R","Approved symbol","C1R","complement C1r","HGNC:1246","12p13.31"
"CPE","Approved symbol","CPE","carboxypeptidase E","HGNC:2303","4q32.3"
"ZEB1","Approved symbol","ZEB1","zinc finger E-box binding homeobox 1","HGNC:11642","10p11.22"
"PRKCDBP","Previous symbol","CAVIN3","caveolae associated protein 3","HGNC:9400","11p15.4"
"IGF2","Approved symbol","IGF2","insulin like growth factor 2","HGNC:5466","11p15.5"
